system:time_start,Sprawl_Zone_Core,Control_Zone,Sprawl_North,Sprawl_South,Sprawl_East,Sprawl_West
"Oct 24, 2025",0.363,0.839,0.314,0.391,0.114,0.379
"Nov 1, 2025",0.368,,0.349,0.412,0.058,0.399
"Nov 23, 2025",0.395,0.844,0.412,0.417,0.289,0.411
"Nov 25, 2025",0.294,,0.259,0.266,0.106,0.336
"Nov 26, 2025",,0.814,,0.302,0.646,0.027
"Nov 28, 2025",,,,,,
"Dec 3, 2025",0.309,0.825,0.246,0.517,-0.347,0.339
"Dec 13, 2025",0.348,0.8,0.179,0.358,-0.066,0.359
"Dec 13, 2025",0.353,0.816,0.178,0.37,-0.127,0.365
"Dec 25, 2025",0.309,0.729,0.329,0.288,0.162,0.314
"Dec 31, 2025",0.305,0.712,0.262,0.262,0.042,0.275
"Jan 2, 2026",0.372,0.747,0.293,0.377,0.057,0.346
"Jan 2, 2026",0.381,0.765,0.217,0.396,-0.076,0.355
"Jan 5, 2026",0.353,0.747,0.32,0.391,0.055,0.366
"Jan 5, 2026",0.352,0.746,0.306,0.389,0.035,0.365
"Jan 7, 2026",0.339,0.804,0.348,0.352,0.127,0.349
"Feb 4, 2026",0.222,0.793,0.131,0.208,0.124,0.216
"Feb 14, 2026",0.335,,0.573,0.326,0.452,0.335
"Feb 14, 2026",0.335,,0.573,0.321,0.451,0.334
